SIC07_description,SIC07_description_shortened
Agriculture and hunting,Agric & hunting
Forestry and logging,Forestry & logging
Fishing and aquaculture,Fishing & aquaculture
"Mining and quarrying, excluding support activities",Mining & quarrying
Mining support service activities,Mining support
Manufacture of food products,Mfr food
Manufacture of beverages and tobacco products,Mfr beverages & tobacco
Manufacture of textiles,Mfr textiles
Manufacture of wearing apparel,Mfr apparel
Manufacture of leather products,Mfr leather
"Manufacture of wood products, except furniture",Mfr wood products
Manufacture of paper products,Mfr paper
Printing and reproduction of recorded media,Printing & recorded media
"Manufacture of coke, refined petroleum and chemicals",Mfr coke/petrol/chemicals
Manufacture of pharmaceutical products,Mfr pharmaceuticals
Manufacture of rubber and plastic products,Mfr rubber & plastic
Manufacture of other non-metallic mineral products,Mfr non-metallic minerals
Manufacture of basic metals,Mfr basic metals
Manufacture of fabricated metal products,Mfr fabricated metals
"Manufacture of computer, electronic and optical products",Mfr computer/electronic/optical
Manufacture of electrical equipment,Mfr electrical equip
Manufacture of machinery and equipment,Mfr machinery & equip
Manufacture of motor vehicles,Mfr motor vehicles
Manufacture of other transport equipment,Mfr other transport
Manufacture of furniture,Mfr furniture
Other manufacturing,Other manufacturing
Repair and installation of machinery and equipment,Repair & install machinery
Water supply,Water supply
Sewerage activities,Sewerage
"Waste collection, treatment and disposal activities",Waste collection & disposal
Remediation and other waste management services,Remediation & waste mgmt
Construction of buildings,Construction buildings
Civil engineering,Civil engineering
Specialised construction activities,Specialised construction
Motor trades,Motor trades
Wholesale trade,Wholesale trade
Retail trade,Retail trade
Land transport,Land transport
Water transport,Water transport
Air transport,Air transport
Warehousing and transport support activities,Warehousing & transport support
Postal and courier activities,Postal & courier
Accommodation,Accommodation
Food and beverage service activities,Food & beverage services
Publishing activities,Publishing
"Motion picture, video and TV programme production",Film/video/TV production
Programming and broadcasting activities,Programming & broadcasting
Telecommunications,Telecoms
Computer programming and consultancy,Computer prog & consultancy
Information service activities,Info services
Legal and accounting activities,Legal & accounting
Head offices and management consultancy,Head offices & mgmt consultancy
Architectural and engineering activities,Architecture & engineering
Scientific research and development,Scientific R&D
Advertising and market research,Advertising & market research
"Other professional, scientific and technical activities",Other prof/sci/tech
Veterinary activities,Veterinary
Rental and leasing activities,Rental & leasing
Employment activities,Employment
Travel agency and tour operator activities,Travel agency & tour ops
Security and investigation activities,Security & investigation
Services to buildings and landscape activities,Building & landscape services
Office administration and business support activities,Office admin & business support
Human health activities,Human health
Residential care activities,Residential care
Social work activities,Social work
"Creative, arts and entertainment activities",Creative/arts/entertainment
"Libraries, archives, museums and other cultural activities",Libraries/museums/cultural
Gambling and betting activities,Gambling & betting
"Sports, amusement and recreation activities",Sports/amusement/recreation
Activities of membership organisations,Membership organisations
"Repair of computers, personal and household goods",Repair computers/household
Other personal service activities,Other personal services
